省,城市,运营商,DNS服务器,接入方式,操作系统,浏览器,目标IP,目标城市,目标运营商,Label
山西省,太原市,中国电信,219.149.135.188,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,106.119.189.1,石家庄市,中国电信,0
山东省,济南市,中国联通,202.102.152.3,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,119.188.142.1,济南市,中国联通,0
河北省,石家庄市,中国联通,"202.99.160.68,202.99.166.4",LastMile,Windows XP sp3,Chrome 31.1650.1761.0,121.18.212.129,保定市,中国联通,0
宁夏回族自治区,银川市,中国移动,"218.203.123.116,218.203.123.132",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,111.13.23.1,北京市,中国移动,0
内蒙古自治区,呼和浩特市,中国联通,"202.99.224.68,202.99.224.8",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,221.204.13.129,太原市,中国联通,0
陕西省,西安市,中国电信,"218.30.19.50,61.134.1.5",LastMile,Windows XP sp3,Chrome 31.1650.1761.0,117.34.35.1,西安市,中国电信,0
湖北省,武汉市,中国联通,"218.104.111.114,218.104.111.122",LastMile,Windows XP sp3,Chrome 31.1650.1761.0,58.20.88.1,长沙市,中国联通,0
山东省,济南市,中国联通,202.102.152.3,LastMile,Windows 7 sp1,Chrome 31.1650.1761.0,119.188.142.1,济南市,中国联通,0
河北省,石家庄市,中国联通,202.99.160.68,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,121.18.212.129,保定市,中国联通,0
山东省,济南市,中国联通,"202.102.128.68,202.102.152.3",LastMile,Windows 10,Chrome 31.1650.1761.0,119.188.142.1,济南市,中国联通,0
香港特别行政区,香港,电讯盈科,"203.90.224.1,203.80.96.10",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,202.77.128.77,香港,,0
香港特别行政区,香港,和记环讯(香港),"202.45.84.58,8.8.8.8",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,202.77.128.77,香港,,0
湖南省,长沙市,中国联通,"58.20.127.170,58.20.127.238",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,58.20.88.1,长沙市,中国联通,0
湖南省,长沙市,中国移动,211.142.211.124,LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,111.47.246.1,武汉市,中国移动,0
湖南省,长沙市,中国联通,"58.20.127.170,58.20.127.238",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,58.20.88.1,长沙市,中国联通,0
黑龙江省,哈尔滨市,中国联通,"202.97.224.68,202.97.224.69",LastMile,Windows 7,Chrome 55.3.2883.1540,218.60.111.1,大连市,中国联通,0
河北省,石家庄市,中国联通,202.99.160.68,LastMile,Windows 7,Chrome 31.1650.1761.0,121.18.212.129,保定市,中国联通,0
贵州省,贵阳市,中国电信,"118.118.118.9,202.98.192.67",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,182.131.4.1,成都市,中国电信,0
黑龙江省,哈尔滨市,中国电信,112.100.100.100,LastMile,Windows 7,Chrome 55.3.2883.1540,59.45.173.1,阜新市,中国电信,0
湖北省,武汉市,中国电信,"202.103.24.68,202.103.44.150",LastMile,Windows 7 sp1,Chrome 55.3.2883.1540,116.211.94.1,武汉市,中国电信,0
